Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Bench Press (Barbell)",1,45.0,5,0,0,"","",
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Bench Press (Barbell)",2,45.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Bench Press (Barbell)",3,45.0,3,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Bench Press (Barbell)",4,115.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Bench Press (Barbell)",5,115.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Bench Press (Barbell)",6,115.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Bench Press (Barbell)",7,115.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Incline Bench Press (Barbell)",1,115.0,5,0,0,"",,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Incline Bench Press (Barbell)",2,95.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Incline Bench Press (Barbell)",3,95.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Incline Bench Press (Barbell)",4,95.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Chest Fly (Dumbbell)",1,35.0,5,0,0,"",,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Chest Fly (Dumbbell)",2,35.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Chest Fly (Dumbbell)",3,35.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Chest Fly (Dumbbell)",4,35.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Overhead Press (Barbell)",1,45.0,5,0,0,"",,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Overhead Press (Barbell)",2,45.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Overhead Press (Barbell)",3,45.0,3,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Overhead Press (Barbell)",4,85.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Overhead Press (Barbell)",5,85.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Overhead Press (Barbell)",6,85.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Overhead Press (Barbell)",7,85.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Lateral Raise (Dumbbell)",1,20.0,5,0,0,"",,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Lateral Raise (Dumbbell)",2,20.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Lateral Raise (Dumbbell)",3,20.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Lateral Raise (Dumbbell)",4,20.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Triceps Extension (Barbell)",1,45.0,5,0,0,"",,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Triceps Extension (Barbell)",2,45.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Triceps Extension (Barbell)",3,45.0,3,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Triceps Extension (Barbell)",4,55.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Triceps Extension (Barbell)",5,55.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Triceps Extension (Barbell)",6,55.0,5,0,0,,,
2020-09-15 11:22:57,"4by5 Chest And Triceps",1h 43m,"Triceps Extension (Barbell)",7,55.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Squat (Barbell)",1,45.0,5,0,0,"","",
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Squat (Barbell)",2,45.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Squat (Barbell)",3,45.0,3,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Squat (Barbell)",4,95.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Squat (Barbell)",5,115.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Squat (Barbell)",6,115.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Squat (Barbell)",7,115.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Seated Leg Press (Machine)",1,90.0,5,0,0,"",,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Seated Leg Press (Machine)",2,90.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Seated Leg Press (Machine)",3,230.0,3,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Seated Leg Press (Machine)",4,290.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Seated Leg Press (Machine)",5,310.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Seated Leg Press (Machine)",6,310.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Seated Leg Press (Machine)",7,310.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Deadlift (Barbell)",1,45.0,5,0,0,"",,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Deadlift (Barbell)",2,45.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Deadlift (Barbell)",3,115.0,3,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Deadlift (Barbell)",4,115.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Deadlift (Barbell)",5,115.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Deadlift (Barbell)",6,115.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Deadlift (Barbell)",7,115.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over One Arm Row (Dumbbell)",1,45.0,5,0,0,"",,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over One Arm Row (Dumbbell)",2,50.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over One Arm Row (Dumbbell)",3,50.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over One Arm Row (Dumbbell)",4,50.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over Row (Barbell)",1,45.0,5,0,0,"",,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over Row (Barbell)",2,45.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over Row (Barbell)",3,95.0,3,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over Row (Barbell)",4,95.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over Row (Barbell)",5,95.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over Row (Barbell)",6,95.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bent Over Row (Barbell)",7,95.0,5,0,0,,,
2020-09-17 13:59:58,"Day 1 4x5",1h 45m,"Bicep Curl (Barbell)",1,45.0,5,0,0,"",,
